time,pos
1693339357.288589883, 830
1693339390.333051350, 492
1693339421.961190106, 494
1693339453.589772908, 496
1693339485.216822539, 498
1693339516.844079398, 499
1693339548.473772958, 502
1693339580.096765140, 499
1693339611.719871008, 497
1693339643.341919231, 493
1693339674.965352787, 490
1693339706.590057249, 489
1693339738.214198222, 487
1693339769.839933107, 487
1693339801.467911577, 489
1693339833.097399315, 492
1693339864.728644858, 497
1693339896.363028075, 506
1693339927.996163771, 513
1693339959.629956151, 521
1693339991.262262425, 527
1693340022.895701874, 534
1693340054.528611779, 541
1693340086.161085074, 548
1693340117.792008024, 553
1693340149.421839405, 557
1693340181.051899321, 561
1693340212.680894943, 564
1693340244.310853421, 568
1693340275.939428051, 570
1693340307.566383563, 571
1693340339.196171588, 575
1693340370.824412495, 577
1693340402.451789174, 578
1693340434.080611709, 581
1693340465.706434538, 581
1693340497.334144148, 583
1693340528.959197342, 582
1693340560.585044352, 582
1693340592.209642053, 580
1693340623.836167401, 581
1693340655.461706828, 580
1693340687.086964520, 580
1693340718.713186666, 580
1693340750.337847599, 579
1693340781.960312534, 575
1693340813.583446231, 572
1693340845.206723209, 569
1693340876.829479241, 566
1693340908.451296661, 562
1693340940.072914002, 558
1693340971.697157966, 556
1693341003.320561080, 553
1693341034.944834784, 552
1693341066.565038789, 546
1693341098.186934932, 542
1693341129.808589310, 537
1693341161.428938114, 532
1693341193.050555947, 527
1693341224.673526367, 524
1693341256.295340411, 520
1693341287.916712733, 515
1693341319.541208256, 514
1693341351.163055190, 510
1693341382.786550695, 507
1693341414.409603092, 504
1693341446.029961638, 499
1693341477.650228019, 493
1693341509.271958307, 489
1693341540.892464119, 483
1693341572.514391240, 479
1693341604.137039808, 476
1693341635.760733798, 473
1693341667.385213031, 472
1693341699.011368556, 472
1693341730.639124480, 474
1693341762.267939507, 477
1693341793.898571296, 481
1693341825.530448270, 487
1693341857.161255561, 492
1693341888.791389606, 496
1693341920.420608901, 499
1693341952.051015004, 504
1693341983.681567413, 508
1693342015.310640568, 511
1693342046.938102882, 513
1693342078.566216612, 515
1693342110.193410237, 516
1693342141.821501430, 518
1693342173.449085575, 520
1693342205.074879761, 520
1693342236.699761883, 518
1693342268.324298313, 517
1693342299.947687526, 514
1693342331.570886234, 512
1693342363.192620864, 507
1693342394.816160856, 505
1693342426.439549732, 502
1693342458.062758870, 499
1693342489.684598050, 495
1693342521.306435525, 491
1693342552.926982501, 486
1693342584.548928828, 482
1693342616.170837349, 478
1693342647.792351593, 473
1693342679.414071052, 469
1693342711.035837573, 465
1693342742.656768573, 459
1693342774.275428743, 452
1693342805.895653342, 446
1693342837.514640985, 439
1693342869.132064225, 431
1693342900.750913775, 424
1693342932.370118186, 417
1693342963.990494758, 411
1693342995.609286166, 404
1693343027.228276971, 397
1693343058.846058992, 389
1693343090.464505497, 381
1693343122.084811933, 376
1693343153.704283657, 369
1693343185.324238982, 363
1693343216.941814587, 355
1693343248.559415102, 346
1693343280.179689812, 340
1693343311.798513196, 333
1693343343.416090902, 325
1693343375.033591462, 316
1693343406.654114287, 311
1693343438.273114841, 304
1693343470.077805259, 482
1693343501.697957654, 477
1693343533.317438862, 470
1693343564.935789987, 462
1693343596.554890822, 456
1693343628.172761802, 447
1693343659.791384427, 440
1693343691.410423429, 433
1693343723.029191939, 426
1693343754.648178016, 419
1693343786.264384021, 409
1693343817.883189253, 402
1693343849.502343316, 395
1693343881.121188327, 388
1693343912.741799347, 382
1693343944.360415575, 375
1693343975.980920317, 370
1693344007.601451818, 364
1693344039.222683333, 359
1693344070.846360299, 357
1693344102.470837147, 356
1693344134.097295895, 356
1693344165.726202250, 359
1693344197.354169950, 361
1693344228.981820090, 363
1693344260.611203626, 366
1693344292.239951977, 369
1693344323.865995068, 369
1693344355.493750212, 370
1693344387.122598796, 373
1693344418.749117640, 374
1693344450.375226341, 374
1693344482.001502143, 374
1693344513.626177953, 373
1693344545.249751501, 370
1693344576.875740710, 370
1693344608.499202380, 368
1693344640.122657188, 365
1693344671.747468135, 364
1693344703.371698076, 362
1693344734.993023370, 358
1693344766.613750621, 352
1693344798.234280019, 347
1693344829.855056419, 342
1693344861.475060026, 336
1693344893.094164015, 329
1693344924.712494344, 321
1693344956.328760468, 311
1693344987.945414342, 302
1693345019.748059526, 479
1693345051.363279031, 468
1693345082.977557159, 456
1693345114.591277884, 444
1693345146.207905332, 435
1693345177.823571228, 424
1693345209.437513884, 412
1693345241.050552396, 399
1693345272.664474785, 387
1693345304.278502722, 375
1693345335.895388492, 366
1693345367.512315417, 357
